Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec
lily47	265.0631932	3877	1792912	1792.912	59.76373333	103.8757061	89.6456	43.2480791	179.2912	21.62403955	358.5824	10.81201978
linda 67	179.4701627	553	219902	219.902	7.330066667	266.8461406	10.9951	50.29513147	21.9902	25.14756573	43.9804	12.57378287
linda63	263.5217391	667	320450	320.45	10.68166667	101.6695272	16.0225	41.62895928	32.045	20.81447964	64.09	10.40723982
loora49	250.1595128	1724	756983	756.983	25.23276667	137.9159109	37.84915	45.54923955	75.6983	22.77461977	151.3966	11.38730989
Ly20	206.2904762	420	157946	157.946	5.264866667	216.3397617	7.8973	53.18273334	15.7946	26.59136667	31.5892	13.29568333
madis 33	251.5522222	900	396672	396.672	13.2224	159.5776864	19.8336	45.37754114	39.6672	22.68877057	79.3344	11.34438529
maia 69	164.2440945	254	205963	205.963	6.865433333	401.431325	10.29815	24.66462423	20.5963	12.33231211	41.1926	6.166156057
maire49	343.6656347	3230	1619261	1619.261	53.97536667	99.97153022	80.96305	39.89474211	161.9261	19.94737105	323.8522	9.973685527
mait15	339.115894	302	130452	130.452	4.3484	83.70895042	6.5226	46.30055499	13.0452	23.1502775	26.0904	11.57513875
mait26	175.4817927	357	184713	184.713	6.1571	141.4627016	9.23565	38.6545614	18.4713	19.3272807	36.9426	9.66364035
malle54	254.8194444	1296	502312	502.312	16.74373333	119.447674	25.1156	51.60139515	50.2312	25.80069757	100.4624	12.90034879
MAREK37	284.702171	1474	628781	628.781	20.95936667	123.9064157	31.43905	46.88436833	62.8781	23.44218416	125.7562	11.72109208
maret 46	292.6259877	1139	670005	670.005	22.3335	105.1783196	33.50025	33.99974627	67.0005	16.99987314	134.001	8.499936568
marge44	399.7118263	1336	657335	657.335	21.91116667	82.1042543	32.86675	40.64898416	65.7335	20.32449208	131.467	10.16224604
Margo27	229.4807692	520	203789	203.789	6.792966667	128.5152781	10.18945	51.03317647	20.3789	25.51658824	40.7578	12.75829412
margo53	248.9858569	1202	504328	504.328	16.81093333	147.9394362	25.2164	47.66739106	50.4328	23.83369553	100.8656	11.91684777
margot59	315.9049255	873	704560	704.56	23.48533333	61.57034177	35.228	24.78142387	70.456	12.39071193	140.912	6.195355967
MARI 23	230.6358941	1549	669413	669.413	22.31376667	193.0198547	33.47065	46.27935221	66.9413	23.1396761	133.8826	11.56983805
MARI 35	237.5865385	624	262423	262.423	8.747433333	206.9178388	13.12115	47.55680714	26.2423	23.77840357	52.4846	11.88920178
mari 38	248.949429	613	276607	276.607	9.220233333	152.7076321	13.83035	44.32281179	27.6607	22.16140589	55.3214	11.08070295
MARIETA 19	185.6325758	264	152042	152.042	5.068066667	273.0824377	7.6021	34.72724642	15.2042	17.36362321	30.4084	8.681811605
maris20	208.9043779	868	1100157	1100.157	36.6719	70.24451965	55.00785	15.77956601	110.0157	7.889783004	220.0314	3.944891502
marke60	179.0285459	1121	767251	767.251	25.57503333	107.9959492	38.36255	29.22120662	76.7251	14.61060331	153.4502	7.305301655
markus23	266.318818	643	317514	317.514	10.5838	145.1274589	15.8757	40.50215109	31.7514	20.25107554	63.5028	10.12553777
mart24	266.9018233	1426	551469	551.469	18.3823	166.0292782	27.57345	51.71641561	55.1469	25.8582078	110.2938	12.9291039
mart28	334.6106557	244	164737	164.737	5.491233333	63.37374118	8.23685	29.6229748	16.4737	14.8114874	32.9474	7.405743701
mart37	358.6777547	1443	716795	716.795	23.89316667	91.99282919	35.83975	40.26255764	71.6795	20.13127882	143.359	10.06563941
